2017-02-04 14:50:33,Disconnected,2017-02-04 14:47:49,None,1 day, 1:30:30,
2017-02-04 14:51:21,Reconnected,2017-02-04 14:51:21,0:03:32,1 day, 1:30:30,
2017-02-04 16:08:08,Disconnected,2017-02-04 16:04:53,None,1:13:32,
2017-02-05 11:10:00,Reconnected,2017-02-05 11:10:00,19:05:06,1:13:32,
2017-02-05 12:46:06,Disconnected,2017-02-05 12:40:43,None,1:30:43,
2017-02-05 20:17:14,Reconnected,2017-02-05 20:17:14,7:36:31,1:30:43,
2017-02-05 21:18:51,Disconnected,2017-02-05 21:15:59,None,0:58:44,
2017-02-05 21:19:36,Reconnected,2017-02-05 21:19:36,0:03:37,0:58:44,
2017-02-05 21:58:47,Disconnected,2017-02-05 21:55:37,None,0:36:01,
2017-02-05 21:59:18,Reconnected,2017-02-05 21:59:18,0:03:40,0:36:01,
2017-02-05 22:34:20,Disconnected,2017-02-05 22:31:24,None,0:32:06,
2017-02-06 02:55:35,Reconnected,2017-02-06 02:55:35,4:24:10,0:32:06,
2017-02-06 10:02:12,Disconnected,2017-02-06 09:59:39,None,7:04:04,
2017-02-06 10:33:52,Reconnected,2017-02-06 10:33:52,0:34:13,7:04:04,
2017-02-06 10:36:35,Disconnected,2017-02-06 10:34:05,None,0:00:12,
2017-02-06 10:50:31,Reconnected,2017-02-06 10:50:31,0:16:26,0:00:12,
2017-02-06 10:53:15,Disconnected,2017-02-06 10:50:44,None,0:00:13,
2017-02-06 20:42:03,Reconnected,2017-02-06 20:42:03,9:51:18,0:00:13,
2017-02-06 21:32:01,Disconnected,2017-02-06 21:29:11,None,0:47:07,
2017-02-07 10:19:20,Reconnected,2017-02-07 10:19:20,12:50:09,0:47:07,
2017-02-07 10:31:26,Disconnected,2017-02-07 10:28:41,None,0:09:21,
2017-02-07 10:33:30,Reconnected,2017-02-07 10:33:30,0:04:48,0:09:21,
2017-02-07 13:17:18,Disconnected,2017-02-07 13:14:46,None,2:41:16,
2017-02-07 13:18:03,Reconnected,2017-02-07 13:18:03,0:03:17,2:41:16,
2017-02-07 13:23:38,Disconnected,2017-02-07 13:21:08,None,0:03:04,
2017-02-07 18:27:26,Reconnected,2017-02-07 18:27:26,5:06:17,0:03:04,
2017-02-07 18:35:43,Disconnected,2017-02-07 18:32:42,None,0:05:16,
2017-02-07 22:23:01,Reconnected,2017-02-07 22:23:01,3:50:19,0:05:16,
2017-02-07 23:03:45,Disconnected,2017-02-07 23:00:46,None,0:37:45,
2017-02-07 23:08:31,Reconnected,2017-02-07 23:08:31,0:07:44,0:37:45,
2017-02-07 23:13:04,Disconnected,2017-02-07 23:10:08,None,0:01:36,
2017-02-07 23:13:46,Reconnected,2017-02-07 23:13:46,0:03:38,0:01:36,
2017-02-08 02:23:57,Disconnected,2017-02-08 02:21:22,None,3:07:35,
2017-02-08 04:21:43,Reconnected,2017-02-08 04:21:43,2:00:21,3:07:35,
2017-02-08 04:45:23,Disconnected,2017-02-08 04:42:44,None,0:21:00,
2017-02-08 04:45:32,Reconnected,2017-02-08 04:45:32,0:02:48,0:21:00,
2017-02-08 04:50:47,Disconnected,2017-02-08 04:48:16,None,0:02:43,
2017-02-08 04:53:16,Reconnected,2017-02-08 04:53:16,0:05:00,0:02:43,
2017-02-08 04:58:33,Disconnected,2017-02-08 04:56:04,None,0:02:47,
2017-02-08 05:00:06,Reconnected,2017-02-08 05:00:06,0:04:02,0:02:47,
2017-02-08 05:42:18,Disconnected,2017-02-08 05:39:47,None,0:39:41,
2017-02-08 05:50:05,Reconnected,2017-02-08 05:50:05,0:10:18,0:39:41,
2017-02-08 06:14:17,Disconnected,2017-02-08 06:10:58,None,0:20:52,
2017-02-08 06:14:40,Reconnected,2017-02-08 06:14:40,0:03:42,0:20:52,
2017-02-08 06:37:05,Disconnected,2017-02-08 06:34:04,None,0:19:23,
2017-02-08 06:43:04,Reconnected,2017-02-08 06:43:04,0:08:59,0:19:23,
2017-02-08 07:49:03,Disconnected,2017-02-08 07:46:23,None,1:03:19,
2017-02-08 07:49:14,Reconnected,2017-02-08 07:49:14,0:02:50,1:03:19,
2017-02-08 08:07:14,Disconnected,2017-02-08 08:04:42,None,0:15:28,
2017-02-08 08:07:51,Reconnected,2017-02-08 08:07:51,0:03:08,0:15:28,
2017-02-08 08:38:57,Disconnected,2017-02-08 08:36:24,None,0:28:33,
2017-02-08 08:43:16,Reconnected,2017-02-08 08:43:16,0:06:51,0:28:33,
2017-02-08 09:33:00,Disconnected,2017-02-08 09:30:32,None,0:47:15,
2017-02-08 09:37:17,Reconnected,2017-02-08 09:37:17,0:06:45,0:47:15,
2017-02-08 09:50:08,Disconnected,2017-02-08 09:47:35,None,0:10:17,
2017-02-08 09:50:46,Reconnected,2017-02-08 09:50:46,0:03:10,0:10:17,
2017-02-08 09:59:25,Disconnected,2017-02-08 09:56:51,None,0:06:04,
2017-02-08 10:00:21,Reconnected,2017-02-08 10:00:21,0:03:30,0:06:04,
2017-02-08 10:10:12,Disconnected,2017-02-08 10:07:42,None,0:07:21,
2017-02-08 10:11:33,Reconnected,2017-02-08 10:11:33,0:03:50,0:07:21,
2017-02-08 10:17:50,Disconnected,2017-02-08 10:15:16,None,0:03:43,
2017-02-08 10:19:44,Reconnected,2017-02-08 10:19:44,0:04:28,0:03:43,
2017-02-08 10:47:50,Disconnected,2017-02-08 10:45:17,None,0:25:32,
2017-02-08 12:41:51,Reconnected,2017-02-08 12:41:51,1:56:34,0:25:32,
2017-02-08 12:46:25,Disconnected,2017-02-08 12:42:44,None,0:00:52,
2017-02-08 15:41:15,Reconnected,2017-02-08 15:41:15,2:58:31,0:00:52,
2017-02-08 15:46:33,Disconnected,2017-02-08 15:43:51,None,0:02:35,
2017-02-08 16:56:07,Reconnected,2017-02-08 16:56:07,1:12:16,0:02:35,
2017-02-08 17:02:45,Disconnected,2017-02-08 16:59:46,None,0:03:39,
2017-02-08 17:03:55,Reconnected,2017-02-08 17:03:55,0:04:08,0:03:39,
2017-02-08 17:07:11,Disconnected,2017-02-08 17:04:10,None,0:00:14,
2017-02-08 17:08:08,Reconnected,2017-02-08 17:08:08,0:03:58,0:00:14,
2017-02-08 18:38:03,Disconnected,2017-02-08 18:35:29,None,1:27:21,
2017-02-08 20:55:35,Reconnected,2017-02-08 20:55:35,2:20:05,1:27:21,
2017-02-08 21:40:35,Disconnected,2017-02-08 21:37:37,None,0:42:01,
2017-02-08 21:40:47,Reconnected,2017-02-08 21:40:47,0:03:09,0:42:01,
2017-02-08 23:24:47,Disconnected,2017-02-08 23:20:57,None,1:40:10,
2017-02-08 23:35:08,Reconnected,2017-02-08 23:35:08,0:14:10,1:40:10,
2017-02-09 01:35:32,Disconnected,2017-02-09 01:32:28,None,1:57:20,
2017-02-09 01:35:45,Reconnected,2017-02-09 01:35:45,0:03:16,1:57:20,
2017-02-09 02:32:49,Disconnected,2017-02-09 02:30:02,None,0:54:17,
2017-02-09 02:39:05,Reconnected,2017-02-09 02:39:05,0:09:03,0:54:17,
2017-02-09 02:42:14,Disconnected,2017-02-09 02:39:37,None,0:00:32,
2017-02-09 02:53:40,Reconnected,2017-02-09 02:53:40,0:14:03,0:00:32,
2017-02-09 02:57:46,Disconnected,2017-02-09 02:55:08,None,0:01:27,
2017-02-09 03:04:03,Reconnected,2017-02-09 03:04:03,0:08:55,0:01:27,
2017-02-09 03:07:18,Disconnected,2017-02-09 03:04:36,None,0:00:32,
2017-02-09 03:19:03,Reconnected,2017-02-09 03:19:03,0:14:27,0:00:32,
2017-02-09 04:43:45,Disconnected,2017-02-09 04:41:10,None,1:22:07,
2017-02-09 04:44:09,Reconnected,2017-02-09 04:44:09,0:02:58,1:22:07,
2017-02-09 06:12:00,Disconnected,2017-02-09 06:09:12,None,1:25:02,
2017-02-09 06:12:12,Reconnected,2017-02-09 06:12:12,0:03:00,1:25:02,
2017-02-09 07:24:11,Disconnected,2017-02-09 07:20:59,None,1:08:47,
2017-02-09 07:29:40,Reconnected,2017-02-09 07:29:40,0:08:40,1:08:47,
2017-02-09 08:11:00,Disconnected,2017-02-09 08:07:59,None,0:38:19,
2017-02-09 08:15:09,Reconnected,2017-02-09 08:15:09,0:07:09,0:38:19,
2017-02-09 08:19:08,Disconnected,2017-02-09 08:16:12,None,0:01:02,
