time_stamp, event, event_ts, time_spent_disconnected, time_spent_connected,
2017-01-31 19:15:02,Disconnected,2017-01-31 19:11:47,None,0:01:00,
2017-01-31 19:23:03,Reconnected,2017-01-31 19:23:03,0:11:16,0:01:00,
2017-01-31 19:27:22,Disconnected,2017-01-31 19:23:34,None,0:00:31,
2017-01-31 19:37:16,Reconnected,2017-01-31 19:37:16,0:13:41,0:00:31,
2017-01-31 19:41:50,Disconnected,2017-01-31 19:38:20,None,0:01:04,
2017-01-31 19:52:09,Reconnected,2017-01-31 19:52:09,0:13:49,0:01:04,
2017-01-31 19:56:06,Disconnected,2017-01-31 19:52:53,None,0:00:43,
2017-01-31 20:07:02,Reconnected,2017-01-31 20:07:02,0:14:09,0:00:43,
2017-01-31 20:11:39,Disconnected,2017-01-31 20:07:50,None,0:00:47,
2017-01-31 20:28:20,Reconnected,2017-01-31 20:28:20,0:20:29,0:00:47,
2017-01-31 20:32:58,Disconnected,2017-01-31 20:29:14,None,0:00:54,
2017-01-31 20:37:45,Reconnected,2017-01-31 20:37:45,0:08:30,0:00:54,
2017-01-31 20:42:33,Disconnected,2017-01-31 20:38:40,None,0:00:54,
2017-01-31 20:52:26,Reconnected,2017-01-31 20:52:26,0:13:46,0:00:54,
2017-01-31 20:57:37,Disconnected,2017-01-31 20:53:36,None,0:01:09,
2017-01-31 21:07:20,Reconnected,2017-01-31 21:07:20,0:13:44,0:01:09,
2017-01-31 21:11:39,Disconnected,2017-01-31 21:08:19,None,0:00:58,
2017-01-31 21:22:11,Reconnected,2017-01-31 21:22:11,0:13:51,0:00:58,
2017-01-31 21:26:30,Disconnected,2017-01-31 21:22:57,None,0:00:46,
2017-01-31 21:28:00,Reconnected,2017-01-31 21:28:00,0:05:02,0:00:46,
2017-01-31 21:32:36,Disconnected,2017-01-31 21:29:08,None,0:01:08,
2017-01-31 21:36:15,Reconnected,2017-01-31 21:36:15,0:07:06,0:01:08,
2017-01-31 21:40:39,Disconnected,2017-01-31 21:37:06,None,0:00:51,
2017-01-31 21:50:49,Reconnected,2017-01-31 21:50:49,0:13:43,0:00:51,
2017-01-31 21:55:25,Disconnected,2017-01-31 21:51:33,None,0:00:43,
2017-01-31 22:05:36,Reconnected,2017-01-31 22:05:36,0:14:02,0:00:43,
2017-01-31 22:09:23,Disconnected,2017-01-31 22:06:11,None,0:00:35,
2017-01-31 22:20:31,Reconnected,2017-01-31 22:20:31,0:14:20,0:00:35,
2017-01-31 22:24:32,Disconnected,2017-01-31 22:21:04,None,0:00:32,
2017-01-31 22:35:30,Reconnected,2017-01-31 22:35:30,0:14:26,0:00:32,
