time_stamp, event, event_ts, time_spent_disconnected, time_spent_connected,
2017-02-08 07:00:38,Disconnected,2017-02-08 06:57:48,None,0:14:56,
2017-02-08 07:02:32,Reconnected,2017-02-08 07:02:32,0:04:44,0,
2017-02-08 07:07:33,Disconnected,2017-02-08 07:04:22,None,0:01:50,
2017-02-08 07:08:46,Reconnected,2017-02-08 07:08:46,0:04:23,0,
2017-02-08 07:27:10,Disconnected,2017-02-08 07:24:03,None,0:15:17,
2017-02-08 07:30:06,Reconnected,2017-02-08 07:30:06,0:06:03,0,
2017-02-08 07:37:50,Disconnected,2017-02-08 07:35:05,None,0:04:58,
2017-02-08 07:39:07,Reconnected,2017-02-08 07:39:07,0:04:01,0,
2017-02-08 07:44:05,Disconnected,2017-02-08 07:40:51,None,0:01:44,
2017-02-08 07:49:07,Reconnected,2017-02-08 07:49:07,0:08:15,0,
2017-02-08 08:07:54,Disconnected,2017-02-08 08:05:00,None,0:15:52,
2017-02-08 08:08:38,Reconnected,2017-02-08 08:08:38,0:03:38,0,
2017-02-08 08:15:08,Disconnected,2017-02-08 08:12:11,None,0:03:33,
2017-02-08 08:28:24,Reconnected,2017-02-08 08:28:24,0:16:12,0,
2017-02-08 08:36:29,Disconnected,2017-02-08 08:33:33,None,0:05:09,
2017-02-08 08:43:40,Reconnected,2017-02-08 08:43:40,0:10:06,0,
2017-02-08 08:53:51,Disconnected,2017-02-08 08:51:11,None,0:07:31,
2017-02-08 08:55:24,Reconnected,2017-02-08 08:55:24,0:04:12,0,
2017-02-08 08:59:00,Disconnected,2017-02-08 08:56:14,None,0:00:49,
2017-02-08 08:59:21,Reconnected,2017-02-08 08:59:21,0:03:06,0,
2017-02-08 09:04:11,Disconnected,2017-02-08 09:01:09,None,0:01:48,
2017-02-08 09:08:31,Reconnected,2017-02-08 09:08:31,0:07:22,0,
2017-02-08 09:11:52,Disconnected,2017-02-08 09:08:51,None,0:00:19,
