time_stamp, event, event_ts, time_spent_disconnected, time_spent_connected,
2017-01-30 22:30:25,Currently connected,2017-01-30 22:30:25,None,None,
2017-02-02 20:17:19,Disconnected,2017-02-02 20:11:26,None,2 days, 21:41:01,
2017-02-02 20:20:52,Reconnected,2017-02-02 20:20:52,0:09:25,2 days, 21:41:01,
