time_stamp, event, event_ts, time_spent_disconnected, time_spent_connected,
2017-03-29 03:46:20,Disconnected,Wed 29 Mar 03:43,None,0:02:18,
2017-03-29 04:39:26,Reconnected,Wed 29 Mar 04:39,0:56:07,None,
2017-03-29 04:44:42,Disconnected,Wed 29 Mar 04:41,None,0:02:20,
2017-03-29 07:49:03,Reconnected,Wed 29 Mar 07:49,3:07:16,None,
2017-03-29 07:54:38,Disconnected,Wed 29 Mar 07:51,None,0:02:14,
2017-03-29 11:39:18,Reconnected,Wed 29 Mar 11:39,3:48:01,None,
2017-03-29 11:44:20,Disconnected,Wed 29 Mar 11:41,None,0:02:15,
2017-03-30 20:23:57,Reconnected,Thu 30 Mar 20:23,1 day, 8:42:23,None,
2017-03-30 20:50:59,Disconnected,Thu 30 Mar 20:47,None,0:23:49,
2017-03-30 21:12:15,Reconnected,Thu 30 Mar 21:12,0:24:28,None,
2017-03-30 21:15:01,Currently disconnected,Thu 30 Mar 21:15,None,None,
2017-03-31 05:15:57,Disconnected,Fri 31 Mar 05:12,None,8:00:41,
2017-03-31 09:14:50,Reconnected,Fri 31 Mar 09:14,4:01:53,None,
2017-03-31 09:53:16,Currently disconnected,Fri 31 Mar 09:53,None,None,
2017-03-31 12:18:23,Disconnected,Fri 31 Mar 12:15,None,3:00:39,
2017-04-01 03:27:33,Reconnected,Sat 01 Apr 03:27,15:12:03,None,
2017-04-01 03:40:53,Disconnected,Sat 01 Apr 03:37,None,0:10:17,
2017-04-01 04:05:34,Reconnected,Sat 01 Apr 04:05,0:27:43,None,
2017-04-01 04:11:04,Disconnected,Sat 01 Apr 04:07,None,0:02:21,
2017-04-01 05:03:10,Reconnected,Sat 01 Apr 05:03,0:55:15,None,
2017-04-01 05:09:03,Disconnected,Sat 01 Apr 05:05,None,0:02:15,
2017-04-01 06:47:01,Reconnected,Sat 01 Apr 06:47,1:41:35,None,
2017-04-01 06:52:25,Disconnected,Sat 01 Apr 06:49,None,0:02:23,
2017-04-01 10:31:42,Reconnected,Sat 01 Apr 10:31,3:42:17,None,
2017-04-01 10:36:51,Disconnected,Sat 01 Apr 10:33,None,0:02:14,
2017-04-01 11:52:16,Reconnected,Sat 01 Apr 11:52,1:18:19,None,
2017-04-01 11:57:18,Disconnected,Sat 01 Apr 11:54,None,0:02:14,
2017-04-01 12:04:49,Reconnected,Sat 01 Apr 12:04,0:10:18,None,
