time_stamp, is_connected, connect_time, disconnect_time, time_spent_connected,
2017-01-26 23:05:56.735999,True,2017-01-26 23:05:56.735518,None,None,
2017-01-26 23:21:15.648903,True,2017-01-26 23:05:56.735518,None,None,
2017-01-26 23:36:20.948859,True,2017-01-26 23:05:56.735518,None,None,
2017-01-26 23:51:30.846267,True,2017-01-26 23:05:56.735518,None,None,
2017-01-27 00:06:39.857295,True,2017-01-26 23:05:56.735518,None,None,
2017-01-27 00:21:48.613568,True,2017-01-26 23:05:56.735518,None,None,
2017-01-27 00:36:55.665771,True,2017-01-26 23:05:56.735518,None,None,
2017-01-27 00:52:05.138754,True,2017-01-26 23:05:56.735518,None,None,
2017-01-27 01:07:12.957870,True,2017-01-26 23:05:56.735518,None,None,
2017-01-27 01:22:23.367167,True,2017-01-26 23:05:56.735518,None,None,
2017-01-27 01:37:28.424336,True,2017-01-26 23:05:56.735518,None,None,
2017-01-27 01:52:37.892720,True,2017-01-26 23:05:56.735518,None,None,
2017-01-27 02:07:55.087894,True,2017-01-26 23:05:56.735518,None,None,
2017-01-27 02:23:09.317925,True,2017-01-26 23:05:56.735518,None,None,
2017-01-27 02:38:22.648035,True,2017-01-26 23:05:56.735518,None,None,
2017-01-27 02:53:44.171990,True,2017-01-26 23:05:56.735518,None,None,
2017-01-27 03:08:50.227723,True,2017-01-26 23:05:56.735518,None,None,
2017-01-27 03:23:57.453048,True,2017-01-26 23:05:56.735518,None,None,
2017-01-27 03:39:29.357628,True,2017-01-26 23:05:56.735518,None,None,
2017-01-27 03:54:38.364553,True,2017-01-26 23:05:56.735518,None,None,
2017-01-27 04:09:51.277729,True,2017-01-26 23:05:56.735518,None,None,
2017-01-27 04:24:56.799917,True,2017-01-26 23:05:56.735518,None,None,
2017-01-27 04:40:02.668175,True,2017-01-26 23:05:56.735518,None,None,
2017-01-27 04:55:09.481044,True,2017-01-26 23:05:56.735518,None,None,
2017-01-27 05:10:16.434165,True,2017-01-26 23:05:56.735518,None,None,
2017-01-27 05:25:33.845087,True,2017-01-26 23:05:56.735518,None,None,
2017-01-27 05:40:41.032570,True,2017-01-26 23:05:56.735518,None,None,
2017-01-27 05:55:49.472242,True,2017-01-26 23:05:56.735518,None,None,
2017-01-27 06:11:04.321267,True,2017-01-26 23:05:56.735518,None,None,
2017-01-27 06:26:29.249379,True,2017-01-26 23:05:56.735518,None,None,
2017-01-27 06:41:37.417449,True,2017-01-26 23:05:56.735518,None,None,
2017-01-27 06:56:43.230414,True,2017-01-26 23:05:56.735518,None,None,
2017-01-27 07:11:54.570378,True,2017-01-26 23:05:56.735518,None,None,
2017-01-27 07:27:00.715874,True,2017-01-26 23:05:56.735518,None,None,
2017-01-27 07:42:06.522362,True,2017-01-26 23:05:56.735518,None,None,
