time_stamp, is_connected, connect_time, disconnect_time, time_spent_connected,
2017-01-26 22:36:32.682649,True,2017-01-26 22:36:32.682144,None,None,
2017-01-26 22:36:48.952183,True,2017-01-26 22:36:32.682144,None,None,
2017-01-26 22:37:04.343901,True,2017-01-26 22:36:32.682144,None,None,
2017-01-26 22:37:21.163788,True,2017-01-26 22:36:32.682144,None,None,
2017-01-26 22:37:36.477639,True,2017-01-26 22:36:32.682144,None,None,
2017-01-26 22:37:57.748240,True,2017-01-26 22:36:32.682144,None,None,
2017-01-26 22:38:13.094595,True,2017-01-26 22:36:32.682144,None,None,
2017-01-26 22:38:30.710620,True,2017-01-26 22:36:32.682144,None,None,
2017-01-26 22:38:48.232298,True,2017-01-26 22:36:32.682144,None,None,
2017-01-26 22:39:04.957392,True,2017-01-26 22:36:32.682144,None,None,
2017-01-26 22:39:33.387171,True,2017-01-26 22:36:32.682144,None,None,
2017-01-26 22:39:49.720035,True,2017-01-26 22:36:32.682144,None,None,
2017-01-26 22:40:06.752618,True,2017-01-26 22:36:32.682144,None,None,
2017-01-26 22:40:28.172368,True,2017-01-26 22:36:32.682144,None,None,
2017-01-26 22:40:44.407710,True,2017-01-26 22:36:32.682144,None,None,
2017-01-26 22:41:02.506577,True,2017-01-26 22:36:32.682144,None,None,
2017-01-26 22:41:22.739151,True,2017-01-26 22:36:32.682144,None,None,
2017-01-26 22:41:38.777352,True,2017-01-26 22:36:32.682144,None,None,
2017-01-26 22:41:54.786054,True,2017-01-26 22:36:32.682144,None,None,
2017-01-26 22:42:10.587170,True,2017-01-26 22:36:32.682144,None,None,
2017-01-26 22:42:38.281257,True,2017-01-26 22:36:32.682144,None,None,
2017-01-26 22:43:00.199320,True,2017-01-26 22:36:32.682144,None,None,
2017-01-26 22:43:39.453940,True,2017-01-26 22:36:32.682144,None,None,
