time_stamp, event, connect_ts, time_spent_disconnected, disconnect_ts, time_spent_connected,
2017-01-27 13:02:36.613895,Reconnected,2017-01-27 13:02:36.613313,None,None,None,
2017-01-27 13:08:57.650847,Disconnected,None,None,2017-01-27 13:04:10.540876,0:01:33,
2017-01-27 13:23:16.826311,Reconnected,2017-01-27 13:23:16.825716,0:19:06,None,None,
