time_stamp, is_connected, connect_time, disconnect_time, time_spent_connected,
2017-01-26 22:38:42.926522,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:38:58.346832,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:39:08.584815,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:39:19.723883,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:39:40.913634,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:40:01.477727,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:40:13.795982,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:40:27.286813,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:40:40.433894,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:40:51.697331,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:41:21.354826,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:41:33.123849,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:41:43.841912,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:41:54.233187,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:42:07.473468,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:42:18.109315,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:42:46.812353,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:43:03.234310,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:43:14.024174,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:43:25.891201,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:44:04.418625,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:44:17.369553,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:44:31.166872,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:44:44.909521,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:44:56.949850,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:45:08.299420,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:45:19.987008,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:45:31.219894,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:45:42.109347,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:45:55.108215,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:46:07.814249,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:46:20.972938,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:46:33.468958,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:46:47.731491,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:46:58.271285,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:47:29.673421,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:47:41.187313,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:47:52.592769,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:48:03.477505,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:48:14.915298,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:48:29.449270,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:48:45.238405,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:48:56.518133,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:49:07.071702,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:49:25.807060,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:49:46.619363,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:49:57.725062,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:50:09.099017,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:50:19.835709,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:50:33.454394,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:50:57.973867,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:51:14.195302,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:51:25.214105,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:51:38.328034,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:51:50.419160,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:52:08.274508,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:52:24.669872,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:52:43.470977,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:53:16.223951,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:53:27.129110,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:53:42.434039,True,2017-01-26 22:38:42.926031,None,None,
2017-01-26 22:53:52.485498,True,2017-01-26 22:38:42.926031,None,None,
