time_stamp, event, connect_ts, time_spent_disconnected, disconnect_ts, time_spent_connected,
2017-01-27 13:00:46.594343,Reconnected,2017-01-27 13:00:46.592911,None,None,None,
2017-01-27 13:07:41.346654,Disconnected,None,None,2017-01-27 13:04:04.901151,0:03:18,
2017-01-27 13:23:12.110922,Reconnected,2017-01-27 13:23:12.110404,0:19:07,None,None,
2017-01-27 14:41:46.950831,Disconnected,None,None,2017-01-27 14:37:29.392479,1:14:17,
2017-01-27 15:10:01.956636,Reconnected,2017-01-27 15:10:01.956118,0:32:32,None,None,
